"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"192","dbowzer",3,00:16:52.076,1012076,"Remote Getaway",NA,31
"193","hackingnoisess",4,00:16:53.011,1013011,"Sky's the Limit",NA,33
"194","oxidiot",2,00:16:57.842,1017842,"Cover Me With Diamonds",NA,32
"195","oxidiot",2,00:17:04.443,1024443,"Sky's the Limit",NA,33
"196","oxidiot",2,00:17:22.815,1042815,"Local Brewery",NA,34
"197","TigerMCSR",1,00:17:37.015,1057015,"Great View From Up Here",NA,35
"198","hackingnoisess",4,00:17:42.362,1062362,"Diamonds!",NA,34
"199","oxidiot",2,00:17:59.792,1079792,"Great View From Up Here",NA,35
"200","TigerMCSR",1,00:18:23.615,1103615,"Diamonds!",NA,36
"201","oxidiot",2,00:18:35.826,1115826,"Diamonds!",NA,36
"202","hackingnoisess",4,00:18:49.764,1129764,"Great View From Up Here",NA,35
"203","dbowzer",3,00:19:16.157,1156157,"The City at the End of the Game",NA,32
"204","dbowzer",3,00:19:31.063,1171063,"Sky's the Limit",NA,33
"205","hackingnoisess",4,00:19:47.969,1187969,"The Next Generation",NA,36
"206","dbowzer",3,00:20:31.559,1231559,"Diamonds!",NA,34
"207","dbowzer",3,00:20:53.111,1253111,"Great View From Up Here",NA,35
"208","oxidiot",2,00:20:53.501,1253501,"The Next Generation",NA,37
"209","hackingnoisess",4,00:21:21.628,1281628,"Sniper Duel",NA,37
"210","dbowzer",3,00:21:57.363,1317363,"The Next Generation",NA,36
"211","hackingnoisess",4,00:22:04.772,1324772,"Best Friends Forever",NA,38
"212","dbowzer",3,00:22:44.374,1364374,"Who's the Pillager Now?",NA,37
"213","hackingnoisess",4,00:23:17.834,1397834,"Enchanter",NA,39
"214","dbowzer",3,00:23:20.350,1400350,"Voluntary Exile",NA,38
"215","TigerMCSR",1,00:23:27.173,1407173,"Bullseye",NA,37
"216","oxidiot",2,00:23:50.935,1430935,"Enchanter",NA,38
"217","TigerMCSR",1,00:23:55.477,1435477,"Sniper Duel",NA,38
"218","dbowzer",3,00:23:59.111,1439111,"Best Friends Forever",NA,39
"219","NottAntoo",5,00:24:00.001,1440001,NA,"eliminate",27
"220","TigerMCSR",1,00:24:10.528,1450528,"Voluntary Exile",NA,39
"221","TigerMCSR",1,00:24:10.535,1450535,"Who's the Pillager Now?",NA,40
"222","oxidiot",2,00:25:45.039,1545039,"Best Friends Forever",NA,39
"223","TigerMCSR",1,00:25:46.345,1546345,"Enchanter",NA,41
"224","oxidiot",2,00:26:23.159,1583159,"Voluntary Exile",NA,40
"225","oxidiot",2,00:26:23.244,1583244,"Who's the Pillager Now?",NA,41
"226","dbowzer",3,00:27:44.983,1664983,"Enchanter",NA,40
"227","TigerMCSR",1,00:28:42.981,1722981,"Best Friends Forever",NA,42
"228","hackingnoisess",4,00:28:49.839,1729839,"A Throwaway Joke",NA,40
"229","hackingnoisess",4,00:28:49.890,1729890,"Very Very Frightening",NA,41
"230","oxidiot",2,00:29:27.901,1767901,"Hero of the Village",NA,42
"231","hackingnoisess",4,00:30:06.294,1806294,"Voluntary Exile",NA,42
"232","hackingnoisess",4,00:30:06.298,1806298,"Who's the Pillager Now?",NA,43
"233","TigerMCSR",1,00:30:53.405,1853405,"Hero of the Village",NA,43
"234","TigerMCSR",1,00:31:03.898,1863898,"Postmortal",NA,44
"235","dbowzer",3,00:32:19.817,1939817,"Hero of the Village",NA,41
"236","dbowzer",3,00:32:23.645,1943645,"Postmortal",NA,42
"237","TigerMCSR",1,00:32:24.385,1944385,"A Throwaway Joke",NA,45
"238","TigerMCSR",1,00:32:45.398,1965398,"Total Beelocation",NA,46
"239","hackingnoisess",4,00:33:32.751,2012751,"Hero of the Village",NA,44
"240","hackingnoisess",4,00:33:33.146,2013146,"Postmortal",NA,45
"241","dbowzer",3,00:33:34.040,2014040,"Total Beelocation",NA,43
"242","oxidiot",2,00:33:54.844,2034844,"Total Beelocation",NA,43
"243","TigerMCSR",1,00:33:57.506,2037506,"Hired Help",NA,47
"244","dbowzer",3,00:34:42.131,2082130,"Return to Sender",NA,44
"245","dbowzer",3,00:35:05.179,2105179,"Sniper Duel",NA,45
"246","dbowzer",3,00:35:14.183,2114183,"Hot Tourist Destinations",NA,46
"247","TigerMCSR",1,00:35:28.632,2128632,"Hot Tourist Destinations",NA,48
"248","oxidiot",2,00:35:44.264,2144264,"Bullseye",NA,44
"249","TigerMCSR",1,00:35:52.783,2152783,"Return to Sender",NA,49
"250","oxidiot",2,00:35:54.649,2154649,"Postmortal",NA,45
