"","player","time","time_ms","advancement","ranked_event","n_advancements"
"270","okrzej1",00:36:33.266,2193266,"Return to Sender",NA,45
"271","danterustv",00:36:33.267,2193267,NA,"eliminate",44
"272","Feinberg",00:36:38.436,2198436,"Subspace Bubble",NA,50
"273","okrzej1",00:37:03.176,2223176,"This Boat Has Legs",NA,46
"274","fudge1",00:37:19.468,2239468,"Hidden in the Depths",NA,50
"275","Feinberg",00:38:12.892,2292892,"Uneasy Alliance",NA,51
"276","Feinberg",00:41:46.839,2506839,"Spooky Scary Skeleton",NA,52
"277","fudge1",00:42:13.199,2533199,"Enchanter",NA,51
"278","okrzej1",00:42:57.385,2577385,"Hired Help",NA,47
"279","okrzej1",00:44:29.275,2669275,"Hidden in the Depths",NA,48
"280","Feinberg",00:46:16.038,2776038,"Withering Heights",NA,53
"281","okrzej1",00:47:08.372,2828372,"Uneasy Alliance",NA,49
"282","fudge1",00:47:21.039,2841039,"Hero of the Village",NA,52
"283","okrzej1",00:47:31.970,2851970,"Spooky Scary Skeleton",NA,50
"284","fudge1",00:47:59.447,2879447,"Country Lode, Take Me Home",NA,53
"285","okrzej1",00:48:00.006,2880006,NA,"eliminate",50
"286","fudge1",00:48:04.632,2884632,"Postmortal",NA,54
"287","Feinberg",00:50:01.088,3001088,"The End... Again...",NA,54
"288","Feinberg",00:50:01.185,3001185,NA,"death",54
"289","Feinberg",00:51:18.391,3078391,"Bring Home the Beacon",NA,55
"290","fudge1",00:53:50.747,3230747,"Spooky Scary Skeleton",NA,55
"291","fudge1",00:57:19.245,3439245,"The End... Again...",NA,56
"292","fudge1",00:57:19.261,3439261,NA,"death",56
"293","Feinberg",00:58:06.829,3486829,"Country Lode, Take Me Home",NA,56
"294","Feinberg",00:58:08.738,3488738,"Serious Dedication",NA,57
"295","Feinberg",00:58:10.277,3490277,"Bee Our Guest",NA,58
"296","Feinberg",00:58:16.439,3496439,"Sticky Situation",NA,59
"297","Feinberg",00:58:23.036,3503036,"Hired Help",NA,60
"298","Feinberg",00:59:11.791,3551791,"Arbalistic",NA,61
"299","Feinberg",00:59:26.836,3566836,"Best Friends Forever",NA,62
"300","fudge1",01:00:00.007,3600007,NA,"eliminate",56
