"","player","time_ms","advancement","ranked_event","n_advancements"
"136","drx6",553663,"Take Aim",NA,21
"137","drx6",559923,"Return to Sender",NA,22
"138","drx6",559971,"Monster Hunter",NA,23
"139","4antoo",560673,"A Terrible Fortress",NA,20
"140","dbowzer",564442,"Into Fire",NA,23
"141","hackingnoises",576577,"Suit Up",NA,26
"142","4antoo",596622,"Into Fire",NA,21
"143","NOHACKSJUSTTIGER",599265,"Local Brewery",NA,22
"144","drx6",599963,"A Terrible Fortress",NA,24
"145","dbowzer",606811,"Local Brewery",NA,24
"146","NOHACKSJUSTTIGER",608306,"Suit Up",NA,23
"147","Oxidiot",630615,"Suit Up",NA,26
"148","4antoo",639825,"Not Quite ""Nine"" Lives",NA,22
"149","dbowzer",648445,NA,"blind_travel",24
"150","dbowzer",654763,"Sweet Dreams",NA,25
"151","drx6",656685,"Into Fire",NA,25
"152","4antoo",657005,NA,"blind_travel",22
"153","dbowzer",659647,"Suit Up",NA,26
"154","hackingnoises",661374,"Eye Spy",NA,27
"155","drx6",665516,NA,"blind_travel",25
"156","drx6",682555,"Sweet Dreams",NA,26
"157","Oxidiot",693239,"Eye Spy",NA,27
"158","NOHACKSJUSTTIGER",715210,"Eye Spy",NA,24
"159","hackingnoises",717163,"Sweet Dreams",NA,28
"160","4antoo",720000,NA,"eliminate",22
"161","hackingnoises",762146,"The End?",NA,29
"162","Oxidiot",781424,"The End?",NA,28
"163","NOHACKSJUSTTIGER",803611,"Fishy Business",NA,25
"164","hackingnoises",806326,"Free the End",NA,30
