"","player","time_ms","advancement","ranked_event","n_advancements"
"231","7rowl",1439694,"Voluntary Exile",NA,41
"232","7rowl",1439731,"Who's the Pillager Now?",NA,42
"233","JakkeBoy3651",1440004,NA,"eliminate",37
"234","ANTOlNE",1501036,"Best Friends Forever",NA,39
"235","ANTOlNE",1515618,"Tactical Fishing",NA,40
"236","Infume",1525259,"Voluntary Exile",NA,40
"237","Infume",1525360,"Who's the Pillager Now?",NA,41
"238","ANTOlNE",1528767,"Fishy Business",NA,41
"239","7rowl",1598839,NA,"death",42
"240","Infume",1601727,"A Seedy Place",NA,42
"241","iinterp",1672138,"Enchanter",NA,40
"242","iinterp",1745089,"Bullseye",NA,41
"243","ANTOlNE",1813377,"Hero of the Village",NA,42
"244","ANTOlNE",1835914,"Postmortal",NA,43
"245","Infume",1848397,"Hero of the Village",NA,43
"246","Infume",1853199,"Postmortal",NA,44
"247","7rowl",1904294,NA,"death_spawnpoint",42
"248","Infume",1912307,"Sniper Duel",NA,45
"249","ANTOlNE",1935733,"Sniper Duel",NA,44
"250","iinterp",1939579,"Sniper Duel",NA,42
"251","7rowl",2040351,"Postmortal",NA,43
"252","iinterp",2051931,"Spooky Scary Skeleton",NA,43
"253","Infume",2083505,"Total Beelocation",NA,46
"254","iinterp",2086821,"This Boat Has Legs",NA,44
"255","7rowl",2107996,"Hero of the Village",NA,44
"256","Infume",2114762,"Bullseye",NA,47
"257","ANTOlNE",2115289,"Hot Tourist Destinations",NA,45
"258","7rowl",2147953,"Bullseye",NA,45
"259","iinterp",2160006,NA,"eliminate",44
"260","Infume",2283105,"Uneasy Alliance",NA,48
"261","7rowl",2361720,"Total Beelocation",NA,46
"262","7rowl",2389957,"Return to Sender",NA,47
"263","ANTOlNE",2396333,"Country Lode, Take Me Home",NA,46
"264","ANTOlNE",2575778,"Enchanter",NA,47
"265","7rowl",2626770,"Arbalistic",NA,48
"266","Infume",2651915,"A Throwaway Joke",NA,49
"267","Infume",2652019,"Very Very Frightening",NA,50
"268","Infume",2676997,"Hired Help",NA,51
"269","7rowl",2678163,"This Boat Has Legs",NA,49
"270","ANTOlNE",2680518,"Zombie Doctor",NA,48
"271","Infume",2729863,"Hot Tourist Destinations",NA,52
"272","7rowl",2735365,"Hot Tourist Destinations",NA,50
"273","Infume",2745155,"This Boat Has Legs",NA,53
"274","7rowl",2764915,"Hidden in the Depths",NA,51
"275","7rowl",2789065,"Country Lode, Take Me Home",NA,52
"276","Infume",2791151,"Spooky Scary Skeleton",NA,54
"277","7rowl",2804366,"Spooky Scary Skeleton",NA,53
"278","ANTOlNE",2816564,"This Boat Has Legs",NA,49
"279","7rowl",2835598,"Subspace Bubble",NA,54
"280","ANTOlNE",2880007,NA,"eliminate",49
"281","Infume",2984654,"Country Lode, Take Me Home",NA,55
"282","Infume",3132188,"Subspace Bubble",NA,56
"283","Infume",3256926,"Withering Heights",NA,57
"284","7rowl",3313875,"Uneasy Alliance",NA,55
"285","Infume",3315104,"Bring Home the Beacon",NA,58
"286","Infume",3454612,"Hidden in the Depths",NA,59
"287","7rowl",3493519,"Withering Heights",NA,56
"288","Infume",3553552,"Serious Dedication",NA,60
"289","7rowl",3576584,"Bring Home the Beacon",NA,57
"290","7rowl",3589993,"Bee Our Guest",NA,58
"291","7rowl",3600008,NA,"eliminate",58
