"","player","standing","time","time_ms","advancement","ranked_event","n_advancements"
"57","retropog",3,00:03:58.528,238528,"We Need to Go Deeper",NA,10
"58","hasbi123412",6,00:04:00.469,240469,"Hot Stuff",NA,8
"59","chrisXD",4,00:04:06.904,246904,"Those Were the Days",NA,12
"60","hasbi123412",6,00:04:11.676,251676,"We Need to Go Deeper",NA,9
"61","waluyoshi",5,00:04:13.915,253915,"Oh Shiny",NA,10
"62","chrisXD",4,00:04:14.126,254126,"War Pigs",NA,13
"63","SuperC__",1,00:04:15.952,255952,"We Need to Go Deeper",NA,12
"64","chrisXD",4,00:04:17.203,257202,"Ice Bucket Challenge",NA,14
"65","chrisXD",4,00:04:18.680,258680,"Oh Shiny",NA,15
"66","silverrruns",2,00:04:22.757,262757,"Hot Stuff",NA,10
"67","silverrruns",2,00:04:39.077,279077,"We Need to Go Deeper",NA,11
"68","waluyoshi",5,00:04:45.466,285466,"Those Were the Days",NA,11
"69","chrisXD",4,00:04:50.052,290052,"Who is Cutting Onions?",NA,16
"70","waluyoshi",5,00:04:53.591,293591,"War Pigs",NA,12
"71","waluyoshi",5,00:04:56.365,296365,"Ice Bucket Challenge",NA,13
"72","hasbi123412",6,00:05:13.489,313489,"Those Were the Days",NA,10
"73","hasbi123412",6,00:05:19.999,319999,"War Pigs",NA,11
"74","SuperC__",1,00:05:22.247,322247,"Those Were the Days",NA,13
"75","hasbi123412",6,00:05:22.427,322427,"Ice Bucket Challenge",NA,12
"76","silverrruns",2,00:05:27.208,327208,"Return to Sender",NA,12
"77","SuperC__",1,00:05:27.301,327301,"War Pigs",NA,14
"78","silverrruns",2,00:05:27.356,327356,"Monster Hunter",NA,13
"79","waluyoshi",5,00:05:30.565,330565,"Who is Cutting Onions?",NA,14
"80","SuperC__",1,00:05:32.798,332798,"Who is Cutting Onions?",NA,15
"81","retropog",3,00:05:34.164,334164,"Monster Hunter",NA,11
"82","retropog",3,00:05:34.185,334185,"Return to Sender",NA,12
"83","SuperC__",1,00:05:34.406,334406,"Oh Shiny",NA,16
"84","silverrruns",2,00:05:36.709,336709,"Those Were the Days",NA,14
"85","silverrruns",2,00:05:43.710,343710,"War Pigs",NA,15
"86","silverrruns",2,00:05:45.412,345412,"Ice Bucket Challenge",NA,16
"87","hasbi123412",6,00:05:52.337,352337,"Who is Cutting Onions?",NA,13
"88","retropog",3,00:06:02.046,362046,"Those Were the Days",NA,13
"89","chrisXD",4,00:06:07.986,367986,"Ol' Betsy",NA,17
"90","retropog",3,00:06:09.775,369775,"War Pigs",NA,14
"91","retropog",3,00:06:12.889,372889,"Ice Bucket Challenge",NA,15
"92","silverrruns",2,00:06:15.107,375107,"Who is Cutting Onions?",NA,17
"93","retropog",3,00:06:18.026,378026,"Oh Shiny",NA,16
"94","chrisXD",4,00:06:19.924,379924,"Fishy Business",NA,18
"95","retropog",3,00:06:30.164,390164,"Isn't It Iron Pick",NA,17
"96","SuperC__",1,00:06:39.049,399049,"Ice Bucket Challenge",NA,17
"97","retropog",3,00:06:58.994,418994,"Suit Up",NA,18
"98","chrisXD",4,00:07:07.905,427905,"A Terrible Fortress",NA,19
"99","waluyoshi",5,00:07:09.946,429946,"Ol' Betsy",NA,15
"100","waluyoshi",5,00:07:11.173,431173,"Take Aim",NA,16
"101","retropog",3,00:07:13.663,433663,"Who is Cutting Onions?",NA,19
"102","SuperC__",1,00:07:18.357,438357,"Ol' Betsy",NA,18
"103","SuperC__",1,00:07:19.954,439954,"Take Aim",NA,19
"104","SuperC__",1,00:07:19.954,439954,"Not Today, Thank You",NA,20
"105","chrisXD",4,00:07:23.508,443508,"Into Fire",NA,20
"106","waluyoshi",5,00:07:33.969,453969,"Not Today, Thank You",NA,17
"107","silverrruns",2,00:07:43.709,463709,"Getting an Upgrade",NA,18
"108","chrisXD",4,00:07:50.459,470459,"Local Brewery",NA,21
"109","chrisXD",4,00:07:55.926,475926,"Not Quite ""Nine"" Lives",NA,22
"110","chrisXD",4,00:07:59.551,479551,"Suit Up",NA,23
"111","SuperC__",1,00:08:03.607,483607,"Suit Up",NA,21
"112","chrisXD",4,00:08:04.335,484335,"Take Aim",NA,24
"113","chrisXD",4,00:08:04.335,484335,"Not Today, Thank You",NA,25
"114","retropog",3,00:08:07.308,487308,"Ol' Betsy",NA,20
"115","retropog",3,00:08:08.585,488585,"Take Aim",NA,21
"116","retropog",3,00:08:08.585,488585,"Not Today, Thank You",NA,22
"117","hasbi123412",6,00:08:15.222,495222,"Fishy Business",NA,14
"118","retropog",3,00:08:18.988,498988,"Not Quite ""Nine"" Lives",NA,23
"119","waluyoshi",5,00:08:28.869,508869,"A Terrible Fortress",NA,18
"120","chrisXD",4,00:08:29.175,509175,NA,"blind_travel",25
"121","waluyoshi",5,00:08:37.796,517796,"Monster Hunter",NA,19
"122","SuperC__",1,00:08:38.404,518404,"A Terrible Fortress",NA,22
"123","silverrruns",2,00:08:39.960,519960,"Oh Shiny",NA,19
"124","SuperC__",1,00:08:44.954,524954,"Monster Hunter",NA,23
"125","silverrruns",2,00:08:45.721,525721,"A Terrible Fortress",NA,20
"126","waluyoshi",5,00:08:47.668,527668,"Into Fire",NA,20
"127","retropog",3,00:09:08.394,548394,"A Terrible Fortress",NA,24
"128","chrisXD",4,00:09:10.953,550953,"The Parrots and the Bats",NA,26
"129","SuperC__",1,00:09:14.453,554453,"Into Fire",NA,24
"130","silverrruns",2,00:09:22.462,562462,"Into Fire",NA,21
"131","hasbi123412",6,00:09:26.275,566275,"A Terrible Fortress",NA,15
"132","waluyoshi",5,00:09:31.753,571753,"Not Quite ""Nine"" Lives",NA,21
"133","SuperC__",1,00:09:33.509,573509,"Not Quite ""Nine"" Lives",NA,25
"134","SuperC__",1,00:09:36.752,576752,"Local Brewery",NA,26
"135","retropog",3,00:09:39.966,579966,"Into Fire",NA,25
"136","silverrruns",2,00:09:42.514,582514,"Not Quite ""Nine"" Lives",NA,22
"137","silverrruns",2,00:09:47.920,587920,"Local Brewery",NA,23
"138","hasbi123412",6,00:09:55.931,595931,"Monster Hunter",NA,16
"139","hasbi123412",6,00:10:04.177,604177,"Into Fire",NA,17
"140","waluyoshi",5,00:10:10.114,610114,NA,"blind_travel",21
"141","retropog",3,00:10:11.382,611382,NA,"blind_travel",25
"142","waluyoshi",5,00:10:29.470,629470,"A Seedy Place",NA,22
"143","silverrruns",2,00:10:29.862,629862,"Ol' Betsy",NA,24
"144","hasbi123412",6,00:10:31.430,631430,"Ol' Betsy",NA,18
"145","silverrruns",2,00:10:37.660,637660,"Not Today, Thank You",NA,25
"146","silverrruns",2,00:10:37.661,637661,"Take Aim",NA,26
"147","waluyoshi",5,00:10:38.045,638045,"Local Brewery",NA,23
"148","silverrruns",2,00:10:44.841,644841,NA,"blind_travel",26
"149","hasbi123412",6,00:10:45.480,645480,"Take Aim",NA,19
"150","hasbi123412",6,00:10:45.480,645480,"Not Today, Thank You",NA,20
"151","SuperC__",1,00:10:49.279,649279,NA,"blind_travel",26
"152","waluyoshi",5,00:10:51.497,651497,"Sweet Dreams",NA,24
"153","retropog",3,00:10:53.498,653498,"Sweet Dreams",NA,26
"154","SuperC__",1,00:10:54.106,654106,"Sweet Dreams",NA,27
"155","chrisXD",4,00:10:55.104,655104,"Eye Spy",NA,27
"156","retropog",3,00:11:00.507,660507,"Local Brewery",NA,27
"157","silverrruns",2,00:11:04.450,664450,"Sweet Dreams",NA,27
"158","chrisXD",4,00:11:11.861,671861,"Sweet Dreams",NA,28
"159","hasbi123412",6,00:11:12.786,672786,NA,"blind_travel",20
"160","silverrruns",2,00:11:17.059,677059,"Suit Up",NA,28
"161","silverrruns",2,00:11:42.760,702760,"Eye Spy",NA,29
"162","hasbi123412",6,00:11:43.969,703969,"Local Brewery",NA,21
"163","hasbi123412",6,00:11:57.834,717834,"Sweet Dreams",NA,22
"164","hasbi123412",6,00:11:59.999,719999,NA,"eliminate",22
"165","waluyoshi",5,00:12:01.020,721020,"Eye Spy",NA,25
"166","SuperC__",1,00:12:09.733,729733,"Eye Spy",NA,28
"167","waluyoshi",5,00:12:24.767,744767,"Suit Up",NA,26
"168","retropog",3,00:12:38.167,758167,"Eye Spy",NA,28
"169","chrisXD",4,00:13:52.255,832255,"The End?",NA,29
"170","waluyoshi",5,00:14:19.870,859870,"The End?",NA,27
"171","chrisXD",4,00:14:28.913,868913,NA,"death",29
"172","waluyoshi",5,00:14:50.716,890716,"You Need a Mint",NA,28
"173","retropog",3,00:15:22.780,922780,"The End?",NA,29
"174","SuperC__",1,00:15:50.192,950192,"The End?",NA,29
"175","retropog",3,00:15:52.541,952541,"You Need a Mint",NA,30
"176","silverrruns",2,00:15:56.451,956451,"The End?",NA,30
"177","SuperC__",1,00:16:31.107,991107,"You Need a Mint",NA,30
"178","silverrruns",2,00:17:11.311,1031310,"You Need a Mint",NA,31
"179","waluyoshi",5,00:17:14.957,1034957,"Free the End",NA,29
"180","waluyoshi",5,00:17:15.033,1035032,NA,"dragon_death",29
