"match_id","player","standing","time","advancement","ranked_event","n_advancements","time_ms"
"2A1","frankey32_",2,01:00:00.006,NA,"eliminate",57,3600006
"2A2","waluyoshi",5,00:00:20.084,"Stone Age",NA,1,20084
"2A2","waluyoshi",5,00:00:20.383,"Acquire Hardware",NA,2,20383
"2A2","frankey32_",1,00:00:21.915,"Acquire Hardware",NA,1,21915
"2A2","frankey32_",1,00:00:22.102,"Stone Age",NA,2,22102
"2A2","joshteautwins",6,00:00:22.517,"Acquire Hardware",NA,1,22517
"2A2","Boosfer",4,00:00:22.585,"Acquire Hardware",NA,1,22585
"2A2","joshteautwins",6,00:00:22.765,"Stone Age",NA,2,22765
"2A2","maskers_",3,00:00:23.044,"Acquire Hardware",NA,1,23044
"2A2","Boosfer",4,00:00:23.067,"Stone Age",NA,2,23067
"2A2","maskers_",3,00:00:24.248,"Stone Age",NA,2,24248
"2A2","draconix6",2,00:00:24.665,"Stone Age",NA,1,24665
"2A2","draconix6",2,00:00:24.945,"Acquire Hardware",NA,2,24945
"2A2","waluyoshi",5,00:00:49.994,"Minecraft",NA,3,49994
"2A2","waluyoshi",5,00:00:55.082,"Isn't It Iron Pick",NA,4,55082
"2A2","frankey32_",1,00:00:56.611,"The Parrots and the Bats",NA,3,56611
"2A2","waluyoshi",5,00:00:58.997,"Getting an Upgrade",NA,5,58997
"2A2","joshteautwins",6,00:01:00.314,"Minecraft",NA,3,60314
"2A2","draconix6",2,00:01:01.073,"Minecraft",NA,3,61073
"2A2","frankey32_",1,00:01:03.961,"Best Friends Forever",NA,4,63961
"2A2","maskers_",3,00:01:08.942,"Husbandry",NA,3,68942
"2A2","frankey32_",1,00:01:09.301,"A Seedy Place",NA,5,69301
"2A2","draconix6",2,00:01:11.463,"Isn't It Iron Pick",NA,4,71463
"2A2","Boosfer",4,00:01:17.054,"The Parrots and the Bats",NA,3,77054
"2A2","maskers_",3,00:01:17.407,"Minecraft",NA,4,77407
"2A2","joshteautwins",6,00:01:19.216,"Getting an Upgrade",NA,4,79216
"2A2","Boosfer",4,00:01:22.757,"Minecraft",NA,4,82757
"2A2","joshteautwins",6,00:01:27.865,"Isn't It Iron Pick",NA,5,87865
"2A2","waluyoshi",5,00:01:30.481,"The Parrots and the Bats",NA,6,90481
"2A2","frankey32_",1,00:01:34.494,"Minecraft",NA,6,94494
"2A2","draconix6",2,00:01:35.956,"The Parrots and the Bats",NA,5,95956
